date,pm2_5,air_temperature,air_humidity,is_primary_outlier,T,P0,P,U,DD,Ff,VV
2024-05-27 19:00:00,,,,False,12.0,747.7,759.0,58.0,10.0,2.0,10.0
2024-05-27 20:00:00,,,,False,11.0,747.7,759.0,67.0,8.0,3.0,10.0
2024-05-27 21:00:00,,,,False,10.0,747.6,759.0,71.0,10.0,3.0,10.0
2024-05-27 22:00:00,,,,False,10.0,747.6,759.0,76.0,5.0,2.0,10.0
2024-05-27 23:00:00,,,,False,9.0,747.6,759.0,76.0,5.0,3.0,10.0
2024-05-28 00:00:00,,,,False,9.0,746.8,758.2,71.0,10.0,4.0,10.0
2024-05-28 01:00:00,,,,False,8.0,746.8,758.2,82.0,10.0,4.0,10.0
2024-05-28 02:00:00,,,,False,8.0,747.6,759.0,82.0,8.0,5.0,10.0
2024-05-28 03:00:00,,,,False,7.0,747.5,759.0,87.0,8.0,5.0,10.0
2024-05-28 04:00:00,,,,False,6.0,748.2,759.7,87.0,8.0,5.0,10.0
2024-05-28 05:00:00,,,,False,6.0,749.0,760.5,81.0,8.0,6.0,10.0
2024-05-28 06:00:00,,,,False,6.0,749.6,761.2,71.0,8.0,6.0,10.0
2024-05-28 07:00:00,,,,False,6.0,749.6,761.2,66.0,8.0,6.0,10.0
2024-05-28 08:00:00,,,,False,7.0,750.5,762.0,53.0,5.0,7.0,10.0
2024-05-28 09:00:00,,,,False,8.0,750.5,762.0,57.0,4.0,6.0,10.0
2024-05-28 10:00:00,,,,False,8.0,751.3,762.8,43.0,4.0,6.0,10.0
2024-05-28 11:00:00,,,,False,8.0,751.3,762.8,43.0,0.0,7.0,10.0
2024-05-28 12:00:00,1.1833333333333333,10.239249791666667,35.38158288333333,False,9.0,751.3,762.8,43.0,4.0,6.0,10.0
2024-05-28 13:00:00,1.1833333333333333,11.129166441666666,35.187332866666665,False,10.0,751.4,762.8,37.0,4.0,6.0,10.0
2024-05-28 14:00:00,1.15,11.421999741666667,37.70849928333334,False,10.0,751.4,762.8,40.0,0.0,7.0,10.0
2024-05-28 15:00:00,1.2583333333333333,12.665499833333334,37.235832849999994,False,11.0,751.4,762.8,41.0,0.0,8.0,10.0
2024-05-28 16:00:00,2.75,12.737833091666666,39.46249971666667,False,12.0,750.7,762.0,41.0,0.0,9.0,10.0
2024-05-28 17:00:00,2.6166666666666667,12.317333108333335,44.95149933333333,False,12.0,749.9,761.2,41.0,1.0,9.0,10.0
2024-05-28 18:00:00,3.533333333333333,12.321499966666666,49.33949935,False,12.0,749.9,761.2,47.0,1.0,8.0,10.0
2024-05-28 19:00:00,4.116666666666666,11.905499766666667,54.432832633333334,False,12.0,749.9,761.2,47.0,1.0,10.0,10.0
2024-05-28 20:00:00,4.816666666666666,11.122333125,64.05749911666666,False,12.0,749.9,761.2,54.0,1.0,8.0,10.0
2024-05-28 21:00:00,4.233333333333333,11.493499741666666,62.28466578333334,False,11.0,749.2,760.5,62.0,2.0,8.0,10.0
2024-05-28 22:00:00,5.491666666666666,11.575666374999999,62.63883225833333,False,11.0,748.4,759.7,62.0,2.0,9.0,10.0
2024-05-28 23:00:00,7.166666666666667,11.67666635,62.77083281666667,False,11.0,747.7,759.0,62.0,2.0,9.0,10.0
2024-05-29 00:00:00,6.2061403508771935,11.91877164868421,61.90208282938597,False,11.0,747.7,759.0,62.0,2.0,9.0,10.0
2024-05-29 01:00:00,5.245614035087719,12.16087694736842,61.03333284210527,False,12.0,746.9,758.2,63.0,1.0,9.0,10.0
2024-05-29 02:00:00,4.716666666666667,11.598333141666666,62.8808325,False,12.0,746.9,758.2,58.0,1.0,9.0,10.0
2024-05-29 03:00:00,4.616666666666666,11.336166533333333,64.19649978333334,False,11.0,746.4,757.7,62.0,1.0,10.0,10.0
2024-05-29 04:00:00,4.333333333333333,11.603499849999999,64.24133188333333,False,11.0,746.4,757.7,62.0,1.0,10.0,10.0
2024-05-29 05:00:00,4.7,11.875999908333334,65.06566645000001,False,11.0,746.4,757.7,67.0,1.0,9.0,10.0
2024-05-29 06:00:00,4.283333333333333,12.067999683333333,65.70016613333333,False,12.0,746.4,757.7,63.0,1.0,9.0,10.0
2024-05-29 07:00:00,4.216666666666667,12.265166566666666,67.66249903333333,False,12.0,746.4,757.7,63.0,0.0,10.0,10.0
2024-05-29 08:00:00,4.1,12.82366635,69.42983246666667,False,12.0,746.4,757.7,67.0,0.0,9.0,10.0
2024-05-29 09:00:00,5.033333333333333,12.253166366666667,76.72749893333334,False,12.0,746.9,758.2,77.0,0.0,7.0,10.0
2024-05-29 10:00:00,10.35,12.174833016666666,80.73683243333333,False,12.0,746.9,758.2,82.0,0.0,7.0,10.0
2024-05-29 11:00:00,9.308333333333334,11.763833091666667,80.97141483333333,False,12.0,747.7,759.0,82.0,0.0,6.0,10.0
2024-05-29 12:00:00,9.75,9.658333125,86.53633211666667,False,12.0,747.7,759.0,88.0,0.0,6.0,10.0
2024-05-29 13:00:00,9.583333333333334,8.406666541666667,87.27733203333334,False,9.0,748.3,759.7,94.0,8.0,6.0,10.0
2024-05-29 14:00:00,20.166666666666668,9.648166441666666,82.19583214999999,False,8.0,749.0,760.5,93.0,8.0,5.0,10.0
2024-05-29 15:00:00,12.033333333333333,10.437333116666668,78.4386657,False,9.0,749.1,760.5,87.0,8.0,2.0,8.0
2024-05-29 16:00:00,3.15,9.74916655,73.32608248333332,False,10.0,749.1,760.5,82.0,9.0,2.0,10.0
2024-05-29 17:00:00,4.883333333333334,9.105833166666667,76.17383231666666,False,10.0,749.8,761.2,76.0,10.0,4.0,10.0
2024-05-29 18:00:00,11.416666666666666,8.801999766666667,80.37666536666667,False,8.0,749.7,761.2,82.0,8.0,4.0,10.0
2024-05-29 19:00:00,9.716666666666667,8.539666416666668,81.0768324,False,7.5,750.1,761.6,84.5,11.0,2.5,9.0
2024-05-29 20:00:00,7.6,8.206999783333334,85.72966518333332,False,7.0,750.5,762.0,87.0,14.0,1.0,8.0
2024-05-29 21:00:00,9.4,8.148833083333333,86.0841651,False,7.0,751.3,762.8,87.0,6.0,1.0,10.0
2024-05-29 22:00:00,13.033333333333333,8.144833216666667,87.14883178333334,False,7.0,751.3,762.8,93.0,6.0,2.0,10.0
2024-05-29 23:00:00,4.35,7.999833238333333,86.5864986,False,7.0,750.5,762.0,87.0,14.0,1.0,10.0
2024-05-30 00:00:00,7.183333333333334,7.483499833333334,89.46916548333334,False,7.0,751.3,762.8,93.0,4.0,2.0,8.0
2024-05-30 01:00:00,8.933333333333334,7.2614999466666665,92.29499896666667,False,7.0,751.3,762.8,93.0,14.0,1.0,8.0
2024-05-30 02:00:00,13.733333333333333,7.124666573333333,93.30249875,False,6.0,751.2,762.8,93.0,10.0,2.0,10.0
2024-05-30 03:00:00,23.05,7.009999905,93.87833188333335,False,6.0,751.2,762.8,100.0,8.0,3.0,4.8
2024-05-30 04:00:00,9.866666666666667,6.7511665433333325,93.84983203333333,False,6.0,751.9,763.5,93.0,9.0,3.0,10.0
2024-05-30 05:00:00,3.2,5.704499911666667,89.44483126666667,False,6.0,751.2,762.8,93.0,13.0,3.0,10.0
2024-05-30 06:00:00,3.816666666666667,5.260666616666667,84.81716541666667,False,5.0,751.9,763.5,93.0,11.0,6.0,10.0
2024-05-30 07:00:00,2.8916666666666666,5.6786665733333335,79.73849936666667,False,5.0,751.9,763.5,87.0,13.0,6.0,10.0
2024-05-30 08:00:00,6.175,5.9248332024999995,76.9624993,False,6.0,751.9,763.5,81.0,12.0,6.0,10.0
2024-05-30 09:00:00,7.175,6.598166638333334,72.32658233333333,False,6.0,751.9,763.5,81.0,12.0,7.0,10.0
2024-05-30 10:00:00,16.033333333333335,7.114833255,68.96766573333333,False,7.0,752.0,763.5,76.0,12.0,5.0,10.0
